Quest Title,Type,Objectives,Rewards,Required for Kappa,Previous Quest,next
Shooting Cans,Completion,"Locate the Utyos machine gun on Ground Zero
Locate the AGS grenade launcher on Ground Zero
Eliminate any 5 targets on Ground Zero","+1,600 EXP
Prapor Rep +0.01
13,000 Roubles
1× Mosin 7.62x54R bolt-action rifle (Infantry)
3× 7.62x54mm R FMJ ammo pack (20 pcs)",No,"Previous:
-","Leads to:
Debut"
Debut,Elimination,"Eliminate 5 Scavs all over the Tarkov territory
Obtain and hand over 2 MP-133 12ga shotguns","+1,700 EXP
Prapor Rep +0.02
Jaeger Rep +0.01
15,000 Roubles
1× PP-91 ""Kedr"" 9x18PM submachine gun
60× 9x18mm PM BZhT gzh
Unlocks purchase of Kalashnikov AKS-74UB 5.45x39 assault rifle at Prapor LL1",Yes,"Previous:
Shooting Cans","Leads to:
Search Mission
Luxurious Life"
Luxurious Life,PickUp,"Locate the liquor store on Ground Zero
Locate and obtain the wine bottle in the store
Hand over the wine bottle","+1,750 EXP
Prapor Rep +0.01
14,000 Roubles
1× Molot Arms VPO-136 ""Vepr-KM"" 7.62x39 carbine
5× 7.62x39mm FMJ ammo pack (20 pcs)
3× AK 7.62x39 30-round magazine (issued '55 or later)",No,"Previous:
Debut","Leads to:
Background Check"
Properties All Around,PickUp,"Locate the real estate fund on Streets of Tarkov
Locate and obtain the Tarkov real estate transactions document
Hand over the obtained information","+11,600 EXP
Prapor Rep +0.02
80,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
3× SR-2M 9x21 30-round magazine
4× 9x21mm PS gzh ammo pack (30 pcs)",No,"Previous:
Glory to CPSU - Part 2","Leads to:
-"
Search Mission,Exploration,"Find Prapor's missing convoy on Woods
Locate the temporary USEC camp
Survive and extract from the location","+2,800 EXP
Prapor Rep +0.02
22,000 Roubles
1× EYE MK.2 professional hand-held compass
1× Woods plan map
Unlocks purchase of NPP KlASS Kora-Kulon body armor (Digital Flora) at Prapor LL1",Yes,"Previous:
Debut","Leads to:
-"
Background Check,PickUp,"Obtain the Bronze pocket watch on Customs
(Optional) Obtain the key to the fuel tanker truck
Hand over the Bronze pocket watch to Prapor","+1,800 EXP
Prapor Rep +0.03
15,000 Roubles
1× TOZ Simonov SKS 7.62x39 carbine
60× 7.62x39mm PS gzh",Yes,"Previous:
Luxurious Life","Leads to:
Shootout Picnic
Delivery From the Past"
Shootout Picnic,Elimination,Eliminate 15 Scavs on Woods,"+2,000 EXP
Prapor Rep +0.03
Jaeger Rep +0.01
20,000 Roubles
1× Kalashnikov AKS-74UN 5.45x39 assault rifle
3× AK-74 5.45x39 6L20 30-round magazine
90× 5.45x39mm PP gs
Unlocks purchase of Lebedev PL-15 9x19 pistol at Prapor LL1
Unlocks purchase of 6B5-16 Zh-86 Uley armored rig (Khaki) at Prapor LL2",Yes,"Previous:
Background Check","Leads to:
-"
Delivery From the Past,PickUp,"Obtain the secure folder in the Tarcone Director's office at the Customs terminal warehouse
Stash the package in the Factory break room (2nd floor near Gate 3)
Survive and extract from Factory","+4,000 EXP
Prapor Rep +0.03
20,000 Roubles
1× Saiga-12K ver.10 12ga semi-automatic shotgun
4× SOK-12 12/76 sb.5 5-round magazine
40× 12/70 7mm buckshot
Unlocks purchase of 5.45x39mm FMJ at Prapor LL1",Yes,"Previous:
Background Check","Leads to:
BP Depot"
BP Depot,Discovery,"Mark the first fuel tank with an MS2000 Marker on Customs
Mark the second fuel tank with an MS2000 Marker on Customs
Mark the third fuel tank with an MS2000 Marker on Customs
Mark the fourth fuel tank with an MS2000 Marker on Customs
Survive and extract from the location","+2,800 EXP
Prapor Rep +0.03
Jaeger Rep -0.01
30,000 Roubles
2× Expeditionary fuel tank
Unlocks purchase of PP-9 ""Klin"" 9x18PMM submachine gun at Prapor LL1",Yes,"Previous:
Delivery From the Past","Leads to:
Bad Rep Evidence
The Bunker - Part 1"
The Bunker - Part 1,Completion,"Find the underground bunker
Locate the control room in the underground bunker
Survive and extract from the location","+5,700 EXP
Prapor Rep +0.03
20,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
80x 9x21mm BT gzh
3x SR-2M 9x21 20-round magazine
Unlocks purchase of 9x21mm PS gzh at Prapor LL2",Yes,"Previous:
BP Depot","Leads to:
The Bunker - Part 2"
The Bunker - Part 2,Completion,"Locate the hermetic door leading to the hospital (white bishop)
Locate one of two hermetic doors leading to the academy building (black bishop)
Locate one of two hermetic doors leading to barracks #1 (black pawn)
Locate one of two hermetic doors leading to barracks #2 (white pawn)
Locate the hermetic door leading to the building of the air control center (white king)
Survive and extract from the location","+9,200 EXP
Prapor Rep +0.03
25,000 Roubles
1× Kalashnikov AKS-74UB 5.45x39 assault rifle
120× 5.45x39mm BS gs
1× AK CAA RS47 handguard
1× AK-74M CAA AKTS AK74 buffer tube",Yes,"Previous:
The Bunker - Part 1","Leads to:
No Place for Renegades"
Bad Rep Evidence,PickUp,"Obtain Secure Folder 0031 in a bunkhouse on Customs
(Optional) Gain access to the locked room on the third floor in the Factory office hallway
(Optional) Obtain the Portable bunkhouse key
Hand over the Secure Folder 0031 to Prapor
Survive and extract from Customs","+4,100 EXP
Prapor Rep +0.03
35,000 Roubles
1× PP-91-01 ""Kedr-B"" 9x18PM submachine gun
3× PP-91 ""Kedr"" 9x18PM 30-round magazine
120× 9x18mm PM PS gs PPO
Unlocks purchase of BelOMO PSO-1M2-1 4x24 scope at Prapor LL2
Unlocks purchase of SSSh-94 SFERA-S helmet at Prapor LL1",Yes,"Previous:
BP Depot","Leads to:
Ice Cream Cones"
